2 , 50 , RMSE, SNN, known,  0.6544117 
2 , 50 , NLL, SNN, known,  -0.8948665 
2 , 50 , CRPS, SNN, known,  0.3424276 
2 , 10 , RMSE, SNN, known,  0.6868603 
2 , 10 , NLL, SNN, known,  -0.7334275 
2 , 10 , CRPS, SNN, known,  0.3682223 
2 , 20 , RMSE, SNN, known,  0.6755988 
2 , 20 , NLL, SNN, known,  -0.775728 
2 , 20 , CRPS, SNN, known,  0.366359 
2 , 30 , RMSE, SNN, known,  0.6516247 
2 , 30 , NLL, SNN, known,  -0.8537032 
2 , 30 , CRPS, SNN, known,  0.3471771 
2 , 40 , RMSE, SNN, known,  0.6459091 
2 , 40 , NLL, SNN, known,  -0.8462585 
2 , 40 , CRPS, SNN, known,  0.3403836 
2 , 50 , RMSE, SNN, known,  0.6447626 
2 , 50 , NLL, SNN, known,  -0.881548 
2 , 50 , CRPS, SNN, known,  0.3390047 
2 , 10 , RMSE, SNN, known,  0.6592916 
2 , 10 , NLL, SNN, known,  -0.6876766 
2 , 10 , CRPS, SNN, known,  0.3627929 
2 , 20 , RMSE, SNN, known,  0.6187466 
2 , 20 , NLL, SNN, known,  -0.8509211 
2 , 20 , CRPS, SNN, known,  0.3348493 
2 , 30 , RMSE, SNN, known,  0.6124121 
2 , 30 , NLL, SNN, known,  -0.8740369 
2 , 30 , CRPS, SNN, known,  0.3279563 
2 , 40 , RMSE, SNN, known,  0.6032481 
2 , 40 , NLL, SNN, known,  -0.8671567 
2 , 40 , CRPS, SNN, known,  0.3236815 
2 , 50 , RMSE, SNN, known,  0.5912191 
2 , 50 , NLL, SNN, known,  -0.8835437 
2 , 50 , CRPS, SNN, known,  0.3158552 
2 , 10 , RMSE, SNN, known,  0.7227446 
2 , 10 , NLL, SNN, known,  -0.649154 
2 , 10 , CRPS, SNN, known,  0.4016971 
2 , 20 , RMSE, SNN, known,  0.6972074 
2 , 20 , NLL, SNN, known,  -0.754796 
2 , 20 , CRPS, SNN, known,  0.3784135 
